english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
run away (especially from home),,,,,aularlluni,aularlluni,,,,,,,,arularlluni,,CDKA (91),
steer it,,,,,aquluku,aquluku,,,,,,,,aruluku,,CDKA (101),
steer,,,,,aquluni,aquluni,,,,,,,,aruluni,,CDKA (101),
whale,,,,,ar'uq,ar'uq,,,,,,,,arwaq,,CDKA (116),
six,,,,,arwinlen,arwinlen,,,,,,,,arwilgen,,CDKA (96),
six,,,,,arwilgen,arwilgen,,,,,,,,arwinlen,,CDKA (96),
"get snagged, caught on something",,,,,naglluni,naglluni,,,,,,,,as'arlluni,,CDKA (98),
roast split fish in oven,,,,,cikiarluku,cikiarluku,,,,,,,,asgirluku,,CDKA (90),
uncle (father's brother),,,,,ataataq,ataataq,,,,,,,,ataa,,CDKA (112),
uncle (father's brother),,,,,ataa,ataa,,,,,,,,ataataq,,CDKA (112),
father,,,,,taataq,taataq,,,,,,,,ataq,,CDKA (55),
"put clothes on him, dress him, pack it (into box or suitcase)",,,,,qungalluku,qungalluku,,,,,,,,atkugceslluku,,CDKA (46),
"dress, get dressed, put clothes on",,,,,qungalluni,qungalluni,,,,,,,,atkugluni,,CDKA (52),
closet,,,,,aunaun,aunaun,,,,,,,,atkuun,,CDKA (46),
"coat, jacket",,,,,atkuk,atkuk,,,,,,,,atkuut,,CDKA (46),
clothes,,,,,aunat,aunat,,,,,,,,atkuut,,CDKA (46),
"bottom part, lower part, the one under it",,,,,aciqllia,aciqllia,,,,,,,,atllia,,CDKA (42),
"pack, backpack",,,,,atmautaq,atmautaq,,,,,,,,atmak,,CDKA (83),
"pack, backpack",,,,,atmak,atmak,,,,,,,,atmautaq,,CDKA (83),
"carry, take, bring it down",,,,,aciwaulluku,aciwaulluku,,,,,,,,atraulluku,,CDKA (44),
"carry, take, bring some down",,,,,aciwaulluni,aciwaulluni,,,,,,,,atraulluni,,CDKA (44),
be low (in stature or position),,,,,ackinani,ackinani,,,,,,,,atsigluni,,CDKA (75),
song,,,,,atuun,atuun,,,,,,,,atunguaq,,CDKA (98),
song,,,,,atunguaq,atunguaq,,,,,,,,atuun,,CDKA (98),
hardwood (like hickory),,,,,tupuwaq,tupuwaq,,,,,,,,auksuliq,,CDKA (64),
"stop (doing something), quit",,,,,arulairluni,arulairluni,,,,,,,,aulairluni,,CDKA (101),
"quit, stop",,,,,taq'iluni,taq'iluni,,,,,,,,"aulairluni, arulairluni",,CDKA (88),
run away (especially from home),,,,,arularlluni,arularlluni,,,,,,,,aularlluni,,CDKA (91),
"clothes, coat",,,,,atkuut,atkuut,,,,,,,,aunat,,CDKA (46),
closet,,,,,atkuun,atkuun,,,,,,,,aunaun,,CDKA (46),
blackberry (crowberry),,,,,uryaq,uryaq,,,,,,,,auryaq,,CDKA (40),
have pneumonia,,,,,pac'aqarluku,pac'aqarluku,,,,,,,,awarnirluku,,CDKA (86),
river bank,,,,,kui'im cenii,kui'im cenii,,,,,,,,awatek,,CDKA (38),
long pole,,,,,ayaun,ayaun,,,,,,,,ayagta,,CDKA (86),
hold oneself up with it,,,,,ayaperluku,ayaperluku,,,,,,,,ayapeqlluku,,CDKA (65),
hold oneself up with it,,,,,ayapeqlluku,ayapeqlluku,,,,,,,,ayaperluku,,CDKA (65),
fish spear,,,,,kapsuun,kapsuun,,,,,,,,ayaquq,,CDKA (57),
long pole,,,,,ayagta,ayagta,,,,,,,,ayaun,,CDKA (86),
front of my body,,,,,temka,temka,,,,,,,,caika,,CDKA (59),
front of his body,,,,,temii,temii,,,,,,,,cainga,,CDKA (59),
front of body,,,,,tema,tema,,,,,,,,caiq,,CDKA (59),
"have trouble, have a hard time",,,,,kayagniurluni,kayagniurluni,,,,,,,,cakugluni,,CDKA (109),
be hard (difficult),,,,,kayagnarluni,kayagnarluni,,,,,,,,cakugnarluni,,CDKA (64),
be thick,,,,,martuluni,martuluni,,,,,,,,can'uluni,,CDKA (107),
be thin,,,,,markinani,markinani,,,,,,,,"caneglluni, can'ginani",,CDKA (107),
make a face,,,,,cangurqelluni,cangurqelluni,,,,,,,,cangurlluni,,CDKA (54),
"make a face, bend out of shape, get crooked, out of shape",,,,,cangurlluni,cangurlluni,,,,,,,,cangurqelluni,,CDKA (54),
"clock, watch, wristwatch",,,,,casaat,casaat,,,,,,,,casaaq,,CDKA (45),
"clock, hour",,,,,casaaq,casaaq,,,,,,,,casaat,,CDKA (45),
feel it (by touching intentionally),,,,,caugtuurluku,caugtuurluku,,,,,,,,caugtaarluku,,CDKA (55),
feel it (by touching intentionally),,,,,caugtaarluku,caugtaarluku,,,,,,,,caugtuurluku,,CDKA (55),
"keep pulling on it, ",,,,,nuqtarluku,nuqtarluku,,,,,,,,cayugtarluku,,CDKA (87),
roast split fish in oven,,,,,asgirluku,asgirluku,,,,,,,,cikiarluku,,CDKA (90),
chop it,,,,,iqiurluku,iqiurluku,,,,,,,,cikllarluku,,CDKA (46),
glass (substance),,,,,stikluuq,stikluuq,,,,,,,,cikunguaq,,CDKA (60),
"be fun, be happy",,,,,nunanirluni,nunanirluni,,,,,,,,cirimaluni,,CDKA (64),
calendar,,,,,cisllaat,cisllaat,,,,,,,,cisllaaq,,CDKA (43),
calendar,,,,,cisllaaq,cisllaaq,,,,,,,,cisllaat,,CDKA (43),
forehead,,,,,tatek,tatek,,,,,{Afog.},,,cugyuq,,CDKA (58),
"get a sliver, splinter, quill, thorn",,,,,unarsagluni,unarsagluni,,,,,,,,cukilluni,,CDKA (60),
sliver,,,,,unarsak,unarsak,,,,,,,,cukiq,,CDKA (97),
cast iron kettle,,,,,araaq,araaq,,,,,,,,cukunaq,,CDKA (70),
dead puchki stem,,,,,cuplluryaq,cuplluryaq,,,,,,,,"cuplluqaq, cuplluaq",,CDKA (87),
dead puchki stem,,,,,cuplluaq,cuplluaq,,,,,,,,"cuplluqaq, cuplluryaq",,CDKA (87),
dead puchki stem,,,,,cuplluqaq,cuplluqaq,,,,,,,,"cuplluryaq, cuplluaq",,CDKA (87),
slipper,,,,,selipaaq,selipaaq,,,,,,,,cuuglliiq,,CDKA (97),
last year,,,,,cuuliak,cuuliak,,,,,,,,cuuliagpak,,CDKA (119),
last year,,,,,cuuliagpak,cuuliagpak,,,,,,,,cuuliak,,CDKA (119),
"right away, at the same time",,,,,pianeq,pianeq,,,,,,,,egmian,,CDKA (90),
be shallow,,,,,imarkinani,imarkinani,,,,,,,,ek'inani,,CDKA (94),
kindling,,,,,aRastuup'kaat,aRastuup'kaat,,,,,,,,"ekqutet, aminiuwat",,CDKA (71),
kindling,,,,,aminiuwat,aminiuwat,,,,,,,,"ekqutet, aRastuup'kaat",,CDKA (71),
get ready (to do something),,,,,lliiqurluni,lliiqurluni,,,,,,,,elgarlluni,,CDKA (89),
be silly,,,,,llang'ayagluni,llang'ayagluni,,,,,,,,ellaingayagluni,,CDKA (96),
(sound) is soft,,,,,mekinani,mekinani,,,,,,,,emkinani,,CDKA (98),
gums (of teeth),,,,,ingkiat,ingkiat,,,,,,,,engkiat,,CDKA (63),
make one's bed,,,,,alliqiurluni,alliqiurluni,,,,,,,,engleliurluni,,CDKA (39),
be spacious,,,,,nunatuluni,nunatuluni,,,,,,,,entuluni,,CDKA (99),
"stop breathing, suffocate",,,,,eplluni,eplluni,,,,,,,,ep'arlluni,,CDKA (42),
stop breathing,,,,,ep'arlluni,ep'arlluni,,,,,,,,eplluni,,CDKA (42),
"basin, wash basin",,,,,irmigwik,irmigwik,,,,,,,,ermigwik,,CDKA (38),
"come down, go down",,,,,aciwarluni,aciwarluni,,,,,,,,esgwarluni,,CDKA (47),
cannery,,,,,kaanaRiq,kaanaRiq,,,,,,,,faapRiikaaq,,CDKA (44),
window,,,,,raaleq,raaleq,,,,,,,,gaaleq,,CDKA (118),
"chest, front of body, rocks on top of banya",,,,,gaatet,gaatet,,,,,,,,gaateq,,CDKA (45),
"chest, front of body",,,,,gaateq,gaateq,,,,,,,,gaatet,,CDKA (45),
cockle,,,,,taugtaaq,taugtaaq,,,,,,,,gasqaq,,CDKA (46),
tooth,,,,,guuteq,guuteq,,,,,,,,gun,,CDKA (109),
tooth,,,,,gun,gun,,,,,,,,guuteq,,CDKA (109),
cranberry soup,,,,,qayusaak,qayusaak,,,,,,,,igiiyaq,,CDKA (48),
throat,,,,,igya'aq,igya'aq,,,,,,,,igmaun,,CDKA (107),
"buy it, take some, take it",,,,,tuuluku,tuuluku,,,,,,,,igu'urluku,,CDKA (43),
throat,,,,,igmaun,igmaun,,,,,,,,igya'aq,,CDKA (107),
"aim it, aim at it, sight at it",,,,,qinrulluku,qinrulluku,,,,,,,,iimiulluku,,CDKA (35),
"vertebrae, backbone",,,,,wiiwaq,wiiwaq,,,,,,,,iiwaq,,CDKA (114),
"left-over, remnant",,,,,kinuwaq,kinuwaq,,,,,,,,ilakuaq,,CDKA (72),
sometimes,,,,,allrani,allrani,,,,,,,,iliini,,CDKA (98),
brains,,,,,ilqut,ilqut,,,,,,,,ilquq,,CDKA (42),
brains,,,,,ilquq,ilquq,,,,,,,,ilqut,,CDKA (42),
I wonder if ...,,,,,ima'i,ima'i,,,,,,,,"ima, ima-mi, qai-kiq",,CDKA (118),
I wonder if ...,,,,,qai-kiq,qai-kiq,,,,,,,,"ima, ima'i, ima-mi",,CDKA (118),
I wonder if ...,,,,,ima-mi,ima-mi,,,,,,,,"ima, ima'i, qai-kiq",,CDKA (118),
I wonder if ...,,,,,ima,ima,,,,,,,,"ima'i, ima-mi, qai-kiq",,CDKA (118),
contents,,,,,imat,imat,,,,,,,,imaq,,CDKA (47),
be shallow,,,,,ek'inani,ek'inani,,,,,,,,imarkinani,,CDKA (94),
"not have fun, get depressed, be in a bad mood, feel bad, be sad",,,,,nunaniicugluni,nunaniicugluni,,,,,,,,imasuugluni,,CDKA (59),
go to bed,,,,,inarqurluni,inarqurluni,,,,,,,,inarlluni,,CDKA (61),
"go to bed, lie down",,,,,inarlluni,inarlluni,,,,,,,,inarqurluni,,CDKA (61),
"be homely, plain, ugly",,,,,ineqsunainani,ineqsunainani,,,,,,,,ineqsugnainani,,CDKA (66),
"be homely, plain, ugly",,,,,ineqsugnainani,ineqsugnainani,,,,,,,,ineqsunainani,,CDKA (66),
mountain,,,,,ingriq,ingriq,,,,,,,,ing'iq,,CDKA (78),
gums (of teeth),,,,,engkiat,engkiat,,,,,,,,ingkiat,,CDKA (63),
louse egg,,,,,irniaq,irniaq,,,,,,,,ingqiq,,CDKA (75),
mountain,,,,,ing'iq,ing'iq,,,,,,,,ingriq,,CDKA (78),
hang some up,,,,,iniiluni,iniiluni,,,,,,,,ini'iluni,,CDKA (64),
hang some up,,,,,ini'iluni,ini'iluni,,,,,,,,iniiluni,,CDKA (64),
rack for hanging fish,,,,,iniwik,iniwik,,,,,,,,initaq,,CDKA (88),
"fish rack, rack for hanging fish, pole for hanging fish",,,,,initaq,initaq,,,,,,,,iniwik,,CDKA (88),
snail,,,,,ac'aruaq,ac'aruaq,,,,,,,,ipuk,,CDKA (97),
washboard,,,,,iqai'isuutet,iqai'isuutet,,,,,,,,iqai'isuun,,CDKA (115),
"washboard, washing machine",,,,,iqai'isuun,iqai'isuun,,,,,,,,iqai'isuutet,,CDKA (115),
chop it,,,,,cikllarluku,cikllarluku,,,,,,,,iqiurluku,,CDKA (46),
chop wood,,,,,cikllarluni,cikllarluni,,,,,,,,iqiurluni,,CDKA (46),
chop wood,,,,,kenerkiurluni,kenerkiurluni,,,,,,,,iqiurluni,,CDKA (117),
snuff box,,,,,peluskaun,peluskaun,,,,,,,,iqmiutaq,,CDKA (97),
"its point, tip",,,,,kakngaa,kakngaa,,,,,,,,iqua,,CDKA (86),
shark,,,,,melugyaq,melugyaq,,,,,,,,iraluruaq,,CDKA (95),
rainbow,,,,,agluryaq,agluryaq,,,,,,,,irluryaq,,CDKA (89),
"basin, wash basin",,,,,ermigwik,ermigwik,,,,,,,,irmigwik,,CDKA (38),
"louse egg, nit",,,,,ingqiq,ingqiq,,,,,,,,irniaq,,CDKA (75),
rope,,,,,miRafkuq,miRafkuq,,,,,,,,iRufkuq,,CDKA (91),
go around visiting,,,,,pulaarluni,pulaarluni,,,,,,,,"it'anguarluni, kula'irluni",,CDKA (61),
"pull it loose, undo it, untie it",,,,,petenglluku,petenglluku,,,,,,,,itemlluku,,CDKA (74),
"come loose, undone, untied",,,,,petengluni,petengluni,,,,,,,,itemluni,,CDKA (74),
crab,,,,,sakuuq,sakuuq,,,,,{OH},,,iwalrayak,,CDKA (48),
go to get it,,,,,aqwalluku,aqwalluku,,,,,,,,iwarluku,,CDKA (61),
go to get some,,,,,aqwalluni,aqwalluni,,,,,,,,iwaulluni,,CDKA (61),
take food along on a trip,,,,,taquirluni,taquirluni,,,,,,,,ka'isqirluni,,CDKA (58),
food for a trip,,,,,taquaq,taquaq,,,,,,,,ka'isquq,,CDKA (58),
"get into trouble, have an accident, make a mistake, make a (serious) mistake",,,,,piruyagluni,piruyagluni,,,,,,,,ka'ugllugluni,,CDKA (60),
cannery,,,,,faapRiikaaq,faapRiikaaq,,,,,,,,kaanaRiq,,CDKA (44),
"boat (i.e., fishing boat)",,,,,paRag'uutaruaq,paRag'uutaruaq,,,,,,,,kaasalinaruaq,,CDKA (41),
broom,,,,,kagitet,kagitet,,,,,,,,kagin,,CDKA (42),
broom,,,,,kagin,kagin,,,,,,,,kagitet,,CDKA (42),
hit the bull's-eye,,,,,kanagluku,kanagluku,,,,,,,,kahnagluku,,CDKA (65),
have a runny nose,,,,,kakegllugluku,kakegllugluku,,,,,,,,kakeglliqlluni,,CDKA (91),
have a runny nose,,,,,kakeglliqlluni,kakeglliqlluni,,,,,,,,kakegllugluku,,CDKA (91),
hook it,,,,,iqsagluku,iqsagluku,,,,,,,,kakiluku,,CDKA (66),
shaman,,,,,samanaq,samanaq,,,,,,,,kalla'alek,,CDKA (94),
thunder,,,,,minrarluni,minrarluni,,,,,,,,kallirluni,,CDKA (108),
bullhead,,,,,kayuluk,kayuluk,,,,,,,,kaluyuk,,CDKA (42),
hit the bull's-eye,,,,,kahnagluku,kahnagluku,,,,,,,,kanagluku,,CDKA (65),
pintail,,,,,pamyurtuliq,pamyurtuliq,,,,,,,,kanarautusqat,,CDKA (85),
"be curious about it, be interested in it, want to see it",,,,,papsaaklluku,papsaaklluku,,,,,,,,kangiilkelluku,,CDKA (49),
"be curious (all the time), be interested (all the time)",,,,,papsaatarluni,papsaatarluni,,,,,,,,kangiilltarluni,,CDKA (49),
"be curious, be interested, want to see",,,,,papsaaluni,papsaaluni,,,,,,,,kangiilyugluni,,CDKA (49),
"fish spear, harpoon",,,,,ayaquq,ayaquq,,,,,,,,kapsuun,,CDKA (57),
pencil,,,,,ster'utaq,ster'utaq,,,,,{Afog.},,,karantaasaaq,,CDKA (84),
"elder, councilman, leader, chief",,,,,angnertaq,angnertaq,,,,,,,,kasa'inaq,,CDKA (53),
newspaper,Noun ,,,,kasitat,kasitat,,,,,,,,kasitaq,,CDKA (80),
magazine,Noun ,,,,kasitaq,kasitaq,,,,,,,,kasitat,,CDKA (75),
hammer,,,,,mulut'uuk,mulut'uuk,,,,,,,,kau'utaq,,CDKA (63),
be hard (difficult),,,,,cakugnarluni,cakugnarluni,,,,,,,,kayagnarluni,,CDKA (64),
"have a hard time, strain, exert effort, have trouble,",,,,,cakugluni,cakugluni,,,,,,,,kayagniurluni,,CDKA (64),
bullhead,,,,,kaluyuk,kaluyuk,,,,,,,,kayuluk,,CDKA (42),
iron (for ironing),,,,,utiuk,utiuk,,,,,,,,kelatirsuun,,CDKA (69),
"tape, glue",,,,,nepyutaq,nepyutaq,,,,,,,,keli'iq,,CDKA (106),
chop wood,,,,,iqiurluni,iqiurluni,,,,,,,,kenerkiurluni,,CDKA (117),
bat,,,,,piqertuutaq,piqertuutaq,,,,,,,,keneryaq,,CDKA (38),
"the wrong way, on the wrong side",,,,,kenglucestun,kenglucestun,,,,,,,,kenglucestun,,CDKA (119),
"the wrong way, on the wrong side",,,,,kenlucestun,kenlucestun,,,,,{Afog.},,,kenlucestun,,CDKA (119),
whose,,,,,kia,kia,,,,,,,,"kinam, kitum",,CDKA (117),
whose,,,,,kitum,kitum,,,,,,,,"kinam, or kia",,CDKA (117),
"behind it, in back of it, following it",,,,,tunua,tunua,,,,,,,,kingua,,CDKA (39),
"located behind, in back",,,,,tunumi,tunumi,,,,,,,,kingumi,,CDKA (39),
"back up, go backwards, in reverse",,,,,utqiarluni,utqiarluni,,,,,,,,kingutmiarluni,,CDKA (37),
"left-over, remnant",,,,,ilakuaq,ilakuaq,,,,,,,,kinuwaq,,CDKA (72),
whose,,,,,kinam,kinam,,,,,,,,"kitum, or kia",,CDKA (117),
"be insolent to him, talk back to him",,,,,tukllirluku,tukllirluku,,,,,,,,kium'aluku,,CDKA (68),
rake,,,,,pakin'aguat,pakin'aguat,,,,,,,,kraapit,,CDKA (89),
seine net,,,,,kugyasiq,kugyasiq,,,,,,,,kug'asiq,,CDKA (80),
pitcher,,,,,murusniik,murusniik,,,,,,,,kugsiinaq,,CDKA (85),
seine net,,,,,kug'asiq,kug'asiq,,,,,,,,kugyasiq,,CDKA (80),
river bank,,,,,awatek,awatek,,,,,,,,kui'im cenii,,CDKA (38),
wick (of a lamp),,,,,kumaq,kumaq,,,,,,,,kumaat'kaaq,,CDKA (117),
wick (of a lamp),,,,,kumaat'kaaq,kumaat'kaaq,,,,,,,,kumaq,,CDKA (117),
smoked salmon,,,,,palik,palik,,,,,,,,"kupcuunaq, palek",,CDKA (91),
smoked salmon,,,,,palek,palek,,,,,,,,"kupcuunaq, palik",,CDKA (91),
rabbit,,,,,uskaanaq,uskaanaq,,,,,,,,"kuskanaq, cuutertuliq",,CDKA (88),
rabbit,,,,,cuutertuliq,cuutertuliq,,,,,,,,"kuskanaq, uskaanaq",,CDKA (88),
