english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
curtains,Noun,stau_kaq,curtains2n.mp3,,gaalem patua,curtains1n.mp3,,curtains.gif,,Household,Candace Branson,,TRUE,
"cutting it, s/he is",Verb,kepraa; kepaa,cuttingit2n.mp3,,kepraa; kepaa,cuttingitn.mp3,,Fotosearch_EVW_148.gif,,Food & Kitchen,Candace Branson,,TRUE,
dance fan,Noun,lliilersuuteq,dancefann.mp3,,lliilersuuteq,dancefann.mp3,,dancefans.gif,,Communication & Arts,Candace Branson,New Word,TRUE,
midwife,Noun,,,,sugkwa'ista,midwifes.mp3,,midwife_copy1.jpg,,People & Roles,Candace Branson,"Literally: ""one who causes a person to be born""",TRUE,
copper,Noun,kanuyaq,,Kasaakat taiskiit kanuyat. - The Russians brought copper.,kanuyaq,coppers.mp3,Kasaakat taiskiit kanuyat. - The Russians brought copper.,kanuyaq.jpg,,Environment & Location,Candace Branson,AWOTW,TRUE,
dancer,Noun,agnguartaasqaq,,,agnguartaasqaq,dancers.mp3,,skt_026.jpg,,People & Roles,Candace Branson,one who always dances,TRUE,
crossing; crosswalk,Noun,arwirwik,,,arwirwik,crossings.mp3,,arwirwik.jpg,arwir-,"Community & Work, Environment & Location",Candace Branson,"Literally: ""place to go across it""",TRUE,
stop sign; stoplight,Noun,nagtsuuteq,,,nagtsuuteq,stopsigns.mp3,,nagtsuuteq.jpeg,nagte-,Community & Work,Candace Branson,"Literally: ""thing to stop something or someone moving""",TRUE,
smoke,Noun,puyuq,,,puyuq,smoke.mp3,,smoke.jpg,puyur-,Environment & Location,Candace Branson,,TRUE,
"lazy; bored, he/she/it is",Verb,qesauq,,,qesauq,lazys.mp3,,,qesa-,"Body & Health, Senses & Emotions",Candace Branson,,TRUE,
poor thing; pitiful one,Complex,aa_inguall_raq,,,aa_inguall_raq,poorthings.mp3,,,,"Greetings & Expressions, People & Roles, Senses & Emotions",Candace Branson,,TRUE,
"move, to start to",Verb,petangluni,,,petangluni,movestarttos.mp3,,,,Physical Actions,Candace Branson,,TRUE,
"boat, fishing",Noun,pa_ag'autaq,fishingboatn.mp3,Pa_ag_autaq kangiyamen iluwartuq. - The boat is coming into the bay.,pa_ag'uutaq,,Pa_ag_uutaq kangiyamen iluwartuq. - The boat is coming into the bay.,Fotosearch_NRE_056.gif,,Transportation,Candace Branson,AWOTW,TRUE,
charcoal,Noun,kianiq,,,kianiq,charcoals.mp3,,kianiq.jpg,,"Household, Community & Work",Candace Branson,AWOTW,TRUE,
coal,Noun,qetek,,Qetegmek canamauq. - This is made out of coal.,qetek,coals.mp3,Qetegmek canamauq. - This is made out of coal.,qetek.jpg,,"Household, Environment & Location",Candace Branson,AWOTW,TRUE,
because of it/him/her; on account of it/him/her,Complex,piteklluku,,Pitek'aqa.,piteklluku,becauses.mp3,Pitek'aqa.,,,Community & Work,Candace Branson,doing/saying something as a result of it; the reason,TRUE,
brown one,Adjective,anarngasqaq,,,anarngasqaq,brown2s.mp3,,,anaq,Qualities,Candace Branson,Color; literally: rust-like,TRUE,
vampire,Noun,augturtaasqaq,,,augturtaasqaq,vampires.mp3,,vampire_copy2.jpg,,People & Roles,Candace Branson,,TRUE,
"indeed; oh, my!",Other,agtii,,Agtii p_aawa!,agtii,indeeds.mp3,Agtii p_aawa!,,,Greetings & Expressions,Candace Branson,,TRUE,
"summer, in the",Complex,kiagmi,,,kiagmi,inthesummers.mp3,,,,Numbers & Time,Candace Branson,,TRUE,
"summer, next",Noun,kiaku,,,kiaku,nextsummers.mp3,,,,Numbers & Time,Candace Branson,,TRUE,
"summer, this",Noun,kiagpak,,,kiagpak,thissummers.mp3,,,,Numbers & Time,Candace Branson,,TRUE,
life,Noun,unguwaq,,,unguwaq,lifes.mp3,,,,Body & Health,Candace Branson,,TRUE,
nature; the way a person or thing is,Noun,luumaciq,,,luumaciq,natures.mp3,,,,"Community & Work, Qualities",Candace Branson,,TRUE,
sugar,Noun,saaga_aq,,,saaga_aq,sugars.mp3,,fotosearch_fad_109.jpg,,Food & Kitchen,Candace Branson,,TRUE,
