english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
duck,Noun,saqul'aaq,L1.06.18n.mp3,Saqul'aarsurciqukut. - We are going to go duck hunting.,saqul'aaq,L1.06.18s.mp3,Saqul'aarsurciqukut. - We are going to go duck hunting.,duck.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
"fish, dried",Noun,tamuuq,L1.07.26n.mp3,Tamuuq kinertaa. - The fish is dry.,tamuuq,L1.07.26s.mp3,Tamuuq kinertaa. - The fish is dry.,,,Food & Kitchen,Alisha,AWOTW,TRUE,
Dolly Varden,Noun,nanwam ancia,,Nanwam ancii miktaartut. - Lake trout are always small.,nanwam ancia,,Nanwam ancii miktaartut. - Lake trout are always small.,,,"Animals, Food & Kitchen",Alisha,"AWOTW, literally: the lake's trout",TRUE,
dock,Noun,p_iis'tanaq,dock.mp3,Pa_ag_autat p_iis_tananun taitaartut. - The boats come to the dock.,p_iis'tanaq,,Pa_ag_uutat p_iis_tananun taitaartut. - The boats come to the dock.,dock.gif,,Transportation,Alisha,AWOTW,TRUE,
dentist,Noun,guuta'ista,L1.09.19n.mp3,Guuta'istat alikanka. - I am afraid of the dentist.,guuta'ista,L1.09.19s.mp3,Guuta'istat alikanka. - I am afraid of the dentist.,Fotosearch_EVW_089.gif,,Body & Health,Alisha,AWOTW,TRUE,
day,Noun,erneq (1); erneret or ernet (3+),L1.12.01n.mp3,Erneret taklliyut. - The days are getting long.,erneq (1); erneret or ernet (3+),L1.12.01s.mp3,Erneret taklliyut. - The days are getting long.,day.gif,,Numbers & Time,Alisha,AWOTW,TRUE,
dawn,Verb,tanqigya'arluni,,,tanqigya'arluni,,,tanqigyaarluni.jpeg,,"Numbers & Time, Environment & Location",Alisha,AWOTW,TRUE,
daddy longlegs spider,Noun,sukunuuk,daddylonglegs.mp3,"Sukunuut guangkuta mik'tangraata aliktaapet! - We are always scared of daddy longlegs, even when they're small!",sukunuuk,,"Sukunuut guangkuta mik'tangraata aliktaapet! - We are always scared of daddy longlegs, even when they're small!",DaddyLonglegs.gif,,Animals,Alisha,AWOTW,TRUE,
cup,Noun,caskaq,L1.06.11n.mp3,Ciiwaq caskami et'uq. - The fly is in the cup.,caskaq,L1.06.11s.mp3,Ciiwaq caskami et'uq. - The fly is in the cup.,cup.gif,,Food & Kitchen,Alisha,AWOTW,TRUE,
cross,Noun,k_istaaq,L1.16.07n.mp3,KRistaaq qatertuq. - The cross is white.,k_istaaq,L1.16.07n.mp3,KRistaaq qat'rtuq. - The cross is white.,cross.gif,,Community & Work,Alisha,AWOTW,TRUE,
corporation,Noun,akilingnaq'sqat,,Akilingnaq_sqat angsinartut akilingnaqlluteng. - Some corporations are big and they are trying to make money.,akilingnaq'sqat,,Akilingnaq_sqat angsinartut akilingnaqlluteng. - Some corporations are big and they are trying to make money.,,,Community & Work,Alisha,AWOTW,TRUE,
"cooking, s/he is",Verb,kenirtuq,L1.06.23n.mp3,,kenirtuq,L1.06.23s.mp3,,SKH_007.gif,,"Food & Kitchen, Food & Kitchen, Physical Actions, Physical Actions",Alisha,"AWOTW, Conjuctive verb form: kenirluni",TRUE,
"cold, it is",Verb,pat'snartuq,L1.06.25n.mp3,Uksumi pat'snartaartuq. - It is always cold in the winter.,pat'snartuq,L1.02.41s.mp3,Uksumi pat'snartaartuq. - It is always cold in the winter.,Fotosearch_SKC_020.gif,,Senses & Emotions,Alisha,"AWOTW, usage is for objects that are cold to the touch or the environment. Conjuctive verb form: pat'snarluni",TRUE,
"jacket, coat",Noun,atkuk,L1.10.11n.mp3,Atkut makut maqartut. - These coats are warm.,atkuk,L1.10.11s.mp3,Atkut makut maqartut. - These coats are warm.,Coat.gif,,Clothing & Regalia,Alisha,AWOTW,TRUE,
cloudberry,Noun,aqagwik,,Aqagwingq'rtuten-qaa? - Do you have cloudberries?,aqagwik,,Aqagwingq'rtuten-qaa? - Do you have cloudberries?,cloudberry.jpeg,,"Food & Kitchen, Vegetation",Alisha,AWOTW,TRUE,
"Christmas, Russian",Noun,Rausistuaq,L1.13.01n.mp3,,A_usistuaq,L1.13.01s.mp3,,SKT_170.gif,,"Community & Work, Community & Work",Alisha,"Holiday, AWOTW",TRUE,
Christmas lights,Noun,Rausistuam tanqii,L1.13.03n.mp3,,A_ausistem tanqii,L1.13.03s.mp3,,15494586.gif,,Community & Work,Alisha,,TRUE,
chiton; bidarkie,Noun,uriitaq,L1.15.03n.mp3,Uriitat neptaartut yaamanun. - Bidarkies are always stuck to the rocks.,uriitaq,L1.15.03s.mp3,Uriitat neptaartut yaamanun. - Bidarkies are always stuck to the rocks.,Urritaq.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
Chiniak,Noun,Cingiyaq,L2.14-2.14n.mp3,Cingiyaq yaqsigtuq Sun'amek kaa_akun.,Cingiyaq,L2.14-2.14s.mp3,Cingiyaq yaqsigtuq Sun'amek kaa_akun.,chiniak.gif,,Placenames,Alisha,AWOTW,TRUE,
Chignik Bay,Noun,Cirniq,L2.14-2.21n.mp3,Cirnimen aglita. - Let's go to Chignik.,Cirniq,L2.14-2.21s.mp3,Cirnimen aglita. - Let's go to Chignik.,Chignik.gif,,Placenames,Alisha,AWOTW,TRUE,
chief,Noun,tuyuq,L1.09.14n.mp3,Tuyuq ap_sgu. - Ask the chief,tuyuq,L1.09.14s.mp3,Tuyuq ap_sgu. - Ask the chief,,,People & Roles,Alisha,AWOTW,TRUE,
cannery,Noun,kaana_iiq,L1.09.08n.mp3,,kaana_iiq,L1.09.08s.mp3,,,,Environment & Location,Alisha,AWOTW,TRUE,
buy; purchase,Verb,igu'urluku,,KaaRamek igu'ullrianga. - I bought a car.,igu'urluku,,KaaRamek igu'ullrianga. - I bought a car.,,,Physical Actions,Alisha,AWOTW,TRUE,
bull kelp,Noun,nasquluk,L1.15.16n.mp3,Nasqulut tak_ut. - The bull kelp are long.,nasquluk,L1.15.16s.mp3,Nasqulut tak_ut. - The bull kelp are long.,Bullkelp.gif,,Vegetation,Alisha,AWOTW,TRUE,
braided seal gut,Noun,qiluryaq,,Taugkut qiluryat ekllinartut. - Those braided seal gut look delicious.,qiluryaq,,Taugkut qiluryat ekllinartut. - Those braided seal gut look delicious.,qiluryaq.jpg,,Food & Kitchen,Alisha,AWOTW,TRUE,
bracelet,Noun,tayarnerutaq,,Tayarnerutamek nuliqa pikisk'gka. - I gave my wife a bracelet.,tayarnerutaq,,Tayarnerutamek nuliqa pikisk'gka. - I gave my wife a bracelet.,tayarnerutaq.jpg,,Clothing & Regalia,Alisha,AWOTW,TRUE,
blueberries,Noun,cuawat,L1.07.13n.mp3,Cuawat neqnirtut. - Blueberries are sweet.,cuawat,L1.07.13s.mp3,Cuawat neqnirtut. - Blueberries are sweet.,blueberries.gif,,"Food & Kitchen, Vegetation",Alisha,AWOTW,TRUE,
blue one,Adjective,cungasqaq; cungaq,L1.06.05n.mp3,Qapilaat cungartut. - Mussels are blue.,cungasqaq; cungaq,L1.06.05s.mp3,Qapilaat cungartut. - Mussels are blue.,blue.gif,,Qualities,Alisha,"Color, AWOTW",TRUE,
birch,Noun,qasrulek,,,qasrulek,,,birch.jpg,,Vegetation,Alisha,"AWOTW, alternative: uqgwik (deciduous tree)",TRUE,
bigfoot; outcast; boogyman,Noun,aula'aq,bigfoot.mp3,Aula'at quliyanguit amlertut. - There are many stories about bigfoot.,arula'aq,,Arula'at quliyanguit amlertut. - There are many stories about bigfoot.,Bigfoot.gif,,"Environment & Location, People & Roles",Alisha,AWOTW,TRUE,
berry; salmonberry,Noun,alagnaq,L2.13.05n.mp3,Pingaqtaanka alagnat. - I like berries.,alagnaq,L2.13.05s.mp3,Pingaqtaanka alagnat. - I like berries.,Fotosearch_FAD_096.gif,,"Food & Kitchen, Vegetation",Alisha,AWOTW,TRUE,
Benny Benson Day,Noun,Benny Benson-rem Ernera,,Unuaqu Benny Benson-rem ernera. - Tomorrow is Benny Benson's Day.,Benny Benson-rem Ernera,,Unuaqu Benny Benson-rem ernera. - Tomorrow is Benny Benson's Day.,,,Numbers & Time,Alisha,AWOTW,TRUE,
bend,Verb,perluku,,Kupuraq pertaa. - He is bending the wood.,perluku,,Kupuraq pertaa. - He is bending the wood.,,,Physical Actions,Alisha,AWOTW,TRUE,
beaver,Noun,paluqtaq,beaver.mp3,Pingayun paluqtat kuigmi. - There are three beavers in the creek.,paluqtaq,beaver.mp3,Pingayun paluqtat kuigmi. - There are three beavers in the creek.,Beaver.gif,,"Animals, Animals",Alisha,AWOTW,TRUE,
"bear, Kodiak brown",Noun,taquka'aq,bear.mp3,"Taquka'at niugnitaaraat, ""Suk._ - Bears always say, ""person.""",taquka'aq,bear.mp3,"Taquka'at yugnitaaraat, ""Suk."" - Bears always say, ""person.""",bear.gif,,"Animals, Animals, Animals",Alisha,AWOTW,TRUE,
basket,Noun,inartaq,,Inartaq piliyuq. - She is making a basket.,inartaq,,Inartaq piliyuq. - She is making a basket.,basket.jpeg,,Communication & Arts,Alisha,AWOTW,TRUE,
song,Noun,atuuteq; atuun,L2.20.03n.mp3,Kas'aq amlesqanek atuutet nallunituq. - The priest knows many songs.,atuuteq; atuun,L2.20.03s.mp3,Kas'aq amlesqanek atuutet nallunituq. - The priest knows many songs.,SKT_023.gif,,Communication & Arts,Alisha,,TRUE,
baby song,Noun,inquq,,Aturtuq inqumek carliani. - She's singing a baby song to her baby.,inquq,,Aturtuq inqumek carliani. - She's singing a baby song to her baby.,,,Communication & Arts,Alisha,AWOTW,TRUE,
seal,Noun,isuwiq,L1.07.16n.mp3,Isuwiq piturnirtuq. - The seal tastes good.,isuwiq,L1.07.16s.mp3,Isuwiq piturnirtuq. - The seal tastes good.,seal.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
seal cub,Noun,qaigya'aq; isuwim carlia'a,,Isuwim carlia'a ineqsunartuq. - The seal's baby is cute.,qaigya'aq; isuwim carlia'a,,Isuwim carlia'a ineqsunartuq. - The seal's baby is cute.,qaigyaaq.jpeg,,Animals,Alisha,AWOTW,TRUE,
awl; punch (tool),Noun,siilagkaq (N); siilaq,,Siilaq ipegtuq. - The awl is sharp.,siilaq,,Siilaq ipegtuq. - The awl is sharp.,Awl.gif,,Community & Work,Alisha,AWOTW,TRUE,
ash,Noun,paulaq,,,peluq,,,ashes.jpg,,"Household, Community & Work",Alisha,AWOTW,TRUE,
arrow game; bow and arrows,Verb,ruuwarluni,,Tamamta ruuwartukut. - All of us are playing bow and arrow.,ruuwarluni,,Tamamta ruuwartukut. - All of us are playing bow and arrow.,,,"Communication & Arts, Community & Work",Alisha,AWOTW,TRUE,
Alitak,Noun,All'itaq; Alitaq,L2.14-2.17n.mp3,All'itami et'ukut. - We are at Alitak.,All'itaq; Alitaq,L2.14-2.17s.mp3,All'itami et'ukut. - We are at Alitak.,alitak.gif,,Placenames,Alisha,AWOTW,TRUE,
Alaska Peninsula people,Noun,Aluuwirmiu'at,,Aluuwirmiu'at yaqsisinartut. - People of the Alaska Peninsula are far away.,Aluuwirmiut,,Aluuwirmiu'at yaqsisinartut. - People of the Alaska Peninsula are far away.,peninsula.jpg,,People & Roles,Alisha,AWOTW,TRUE,
airplane,Noun,tengausqaq,L1.18.08n.mp3,Tengausqaq mit'kutartuq. - The plane is going to land.,tengausqaq,L1.18.08s.mp3,Tengausqaq mit'kutartuq. - The plane is going to land.,skw_112.jpg,,Transportation,Alisha,AWOTW,TRUE,
Aiaktalik,Noun,Angyaartalek,L2.14-2.18n.mp3,Angyaartalek sugyataallia cuumi. - There used to be a lot of people at Aiaktalik Island.,Angyaartalek,L2.14-2.18s.mp3,Angyaartalek sugyataallia cuumi. - There used to be a lot of people at Aiaktalik Island.,aiaktalik.gif,,Placenames,Alisha,AWOTW,TRUE,
Black person; African American,Noun,Alap'aaq; A_ap'aaq,blackperson.mp3,,Alap'aaq; A_ap'aaq,,,SKW_251.gif,,People & Roles,Alisha,AWOTW,TRUE,
accupressurist,Noun,caugnga'istaq,,Una arnaq caugnga'istaq. - This woman is an acupressurist.,caugnga'istaq,,Una arnaq caugnga'istaq. - This woman is an acupressurist.,fotosearch_skc_166.jpg,,"Body & Health, People & Roles",Alisha,AWOTW,TRUE,
killer whale; orca,Noun,arlluk,killerwhale.mp3,,arlluk,killerwhale.mp3,,SKW_153.gif,,Animals,Alisha,,TRUE,
bark (tree),Noun,qelltek,,"Cuumi, suut maas_kaalitaarllriit qelltegmek. - In the past, people made masks out of bark.",qelltek,,"Cuumi, suut maas_kaalitaarllriit qelltegmek. - In the past, people made masks out of bark.",bark.jpeg,,Vegetation,Alisha,,TRUE,
ptarmigan,Noun,Qateriuq,ptarmigan.mp3,,Qateriuq,,,ptarmigan.jpg,,Animals,Alisha,"Also pronounced ""Qat'riuq""",TRUE,
firewood (many); wood pile,Noun,kenerkat,L1.04.20n.mp3,,kenerkat,L1.04.20s.mp3,,kenerkat.jpg,,"Household, Vegetation",Alisha,,TRUE,
lupine,Noun,aataq,,Aatat suit_kait cucunartut. - Lupine flowers are beautiful.,aataq,,Aatat suit_kait cucunartut. - Lupine flowers are beautiful.,aataq.jpeg,,Vegetation,Alisha,"AWOTW, Russian Alutiicized word alternative: kuka_ikau",TRUE,
"cranberries, high-bush",Noun,amarsat,L1.20.17n.mp3,,amaryat,L1.20.17s.mp3,,amarsatamaryat.jpg,,"Food & Kitchen, Vegetation",Alisha,AWOTW,TRUE,
"cranberries, low bush",Noun,kenegtat,L1.07.21n.mp3,,kenegtat,L1.07.21s.mp3,,lowbushcran.jpg,,"Food & Kitchen, Vegetation",Alisha,,TRUE,
pineapple weed; wild chamomile,Noun,a_am'aas'kaaq,,Una aRam'aas'kaaq caayuq piturnirtuq. - This chamomile tea tastes good.,a_am'aas'kaaq,,Una aRam'aas'kaaq caayuq piturnirtuq. - This chamomile tea tastes good.,aramaaskaaq.jpeg,,Vegetation,Alisha,AWOTW,TRUE,
pond lily,Noun,qulltaruaq,,,qulltaruaq,,,qulltaruaq.jpg,,Vegetation,Alisha,,TRUE,
thorn; sliver,Noun,cukiq,,Allrani aigaqa cukirtaartuq. - Sometimes I get a sliver on my hand.,cukiq,,Allrani aigaqa cukirtaartuq. - Sometimes I get a sliver on my hand.,cukiq.jpg,,"Body & Health, Vegetation",Alisha,AWOTW,TRUE,
harpoon,Noun,ayaquaq,,,ayaquaq,,,spear2.gif,,Community & Work,Alisha,AWOTW,TRUE,
seagull,Noun,qatayaq,L1.15.10n.mp3,Qatayat nernertutaartut! - Gulls will eat anything!,qatayaq,L1.15.10s.mp3,Qatayat nernertutaartut! - Gulls will eat anything!,seagull2.jpg,,Animals,Alisha,AWOTW,TRUE,
old man's beard (lichen),Noun,nakuraartum nuyii,,,nakuraartum nuyii,,,nakuraartam_nuyii.jpg,,Vegetation,Alisha,,TRUE,
nettles,Noun,uqauyanat,L2.13.08n.mp3,,uqaayanat,L2.13.08s.mp3,,Fotosearch_FAD_103.gif,,Food & Kitchen,Alisha,AWOTW,TRUE,
goose tongue,Noun,weguaq,L1.15.08n.mp3,Weguat qutmi naut. - Goose tongues are growing on the beach.,weguaq,L1.15.08s.mp3,Weguat qutmi naut. - Goose tongues are growing on the beach.,weguaq.jpg,,Vegetation,Alisha,AWOTW,TRUE,
labrador tea,Noun,nunallaq caayuq,,,nunallaq caayuq,,,labradortea.jpg,,"Food & Kitchen, Vegetation",Alisha,,TRUE,
dock (plant),Noun,qu'unarleq,,,qu'unarleq,,,quunarleq.jpeg,,Vegetation,Alisha,,TRUE,
salt,Noun,taryuq,L2.12.01s.mp3,Taryurtuu'uq una iqalluk. - This fish is salty.,taryuq,L2.12.01s.mp3,Taryurtuu'uq una iqalluk. - This fish is salty.,salt.gif,,Food & Kitchen,Alisha,AWOTW,TRUE,
river,Noun,kuik,L2.14.03n.mp3,Iqallugsullriakut kuigmen. - We went to the river to fish.,kuik,L2.14.03s.mp3,Iqallugsullriakut kuigmen. - We went to the river to fish.,river.gif,,Environment & Location,Alisha,AWOTW,TRUE,
"parka, gutskin; raincoat, gut; rain jacket, gutskin",Noun,kanaglluk,L2.19.01s.mp3,Kanagllun asingia'artuq. - Your gutskin raincoat is really nice.,kanaglluk,L2.19.01s.mp3,Kanagllun asingia'artuq. - Your gutskin raincoat is really nice.,GutSkinParka.gif,,Clothing & Regalia,Alisha,AWOTW,TRUE,
"salmon, pink; humpy",Noun,amartuq; amaqaayak,L2.11.27n.mp3,Amartut angitut. - The pink salmon are coming back.,amartuq,L2.11.27s.mp3,Amartut angitut. - The pink salmon are coming back.,amartuq.jpg,,Animals,Alisha,AWOTW,TRUE,
poison,Noun,yaataq,,Pitun'illgu una; yaatartuq. - Don't eat this; it is poisonous.,yaataq,,Pitun'illgu una; yaatartuq. - Don't eat this; it is poisonous.,Fotosearch_SKC_111.gif,,Body & Health,Alisha,AWOTW,TRUE,
policeman,Noun,palicuuskiiq,L1.09.13n.mp3,,palicuuskiiq,L1.09.13s.mp3,,15681841.gif,,People & Roles,Alisha,Alternative: palit'saq,TRUE,
priest,Noun,kas'aq,L1.16.08n.mp3,"Kas'at maani, Sun'ami amlertut. - There are a lot of priests here in Kodiak.",kas'aq,L1.16.08n.mp3,"Kas'at maani, Sun'ami amlertut. - There are a lot of priests here in Kodiak.",15659211.gif,,People & Roles,Alisha,AWOTW,TRUE,
grandmother,Noun,paapuska(q),L1.03.07n.mp3,,emaa(q),L1.03.07s.mp3,,grandma.gif,,People & Roles,Alisha,Russian (N),TRUE,
owl,Noun,isiik,owl.mp3,Isiit awa'i angitut. - The owls have returned.,isiik,,Isiit awa'i angitut. - The owls have returned.,owl2.gif,,Animals,Alisha,AWOTW,TRUE,
Ouzinkie,Noun,Uusenkaaq,L2.14-2.13n.mp3,Uusenkaami et'aartuq. - He lives in Ouzinkie.,Uusenkaaq,L2.14-2.13s.mp3,Uusenkaami et'aartuq. - He lives in Ouzinkie.,Uusenkaaq.gif,,Placenames,Alisha,AWOTW,TRUE,
"rhubarb, domestic",Noun,_iwenaq,,,_iwenaq,,,Rhubarb.gif,,"Food & Kitchen, Vegetation",Alisha,,TRUE,
"rhubarb, wild",Noun,aatunaq,L1.20.10n.mp3,Aatunat piurtut. - The wild rhubarb are ready.,aatunaq,L1.20.10s.mp3,Aatunat piurtut. - The wild rhubarb are ready.,Rhubarb.gif,,"Food & Kitchen, Vegetation",Alisha,AWOTW,TRUE,
"berries, watermelon",Noun,muuguat,L1.07.29n.mp3,Muuguat amlerpianitut maani. - There are not many watermelonberries around here.,muuguat,L1.07.29s.mp3,Muuguat amlerpianitut maani. - There are not many watermelonberries around here.,watermelon_berries.jpg,,"Food & Kitchen, Vegetation",Alisha,AWOTW,TRUE,
lake,Noun,nanwaq,L2.14.01n.mp3,Nanwaq ciqumauq. - The lake is iced up.,nanwaq,L2.14.01s.mp3,Nanwaq ciqumauq. - The lake is iced up.,lake.gif,,"Environment & Location, Environment & Location",Alisha,AWOTW,TRUE,
earth; land,Noun,nuna,lands.mp3,Man_a nunarpet. - This here is our land.,nuna,,Man_a nunarpet. - This here is our land.,Fotosearch_SWO_013.gif,,Environment & Location,Alisha,AWOTW,TRUE,
story,Noun,quliyanguaq,L1.08.02n.mp3,,quliyanguaq,L1.08.02s.mp3,,story.gif,,Communication & Arts,Alisha,"Used to refer to real life stories, rather than legends or origin stories ""Unigkuat.""",TRUE,
Larsen Bay,Noun,Uyaqsaq,L2.14-2.09n.mp3,Tamamta Uyaqsarmiu'at. - We are all Larsen Bay people.,Uyaqsaq,L2.14-2.09s.mp3,Tamamta Uyaqsarmiu'at. - We are all Larsen Bay people.,Uyaqsaq.gif,,Placenames,Alisha,AWOTW,TRUE,
"otter, land",Noun,aaquyaq,landotter.mp3,Aaquyat wamtaartut. - Land otters always play.,aaquyaq,,Aaquyat wamtaartut. - Land otters always play.,landotter2.gif,,Animals,Alisha,AWOTW,TRUE,
cod,Noun,amutaq,L2.11.28n.mp3,Una amutaq miktuq. - This cod is small.,amutaq,L2.11.28s.mp3,Una amutaq miktuq. - This cod is small.,cod.jpg,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
cormorant,Noun,agasuuq,cormorant.mp3,Agasuut iqallunek piturtaartut. - Cormorants eat fish.,agasuuq,,Agasuut iqallunek piturtaartut. - Cormorants eat fish.,cormorant4.gif,,Animals,Alisha,AWOTW,TRUE,
cow,Noun,ku_uwaq,cow.mp3,KuRuwaq quiliuq. - The cow is fat.,ku_uwaq,,KuRuwaq quiliuq. - The cow is fat.,cow.gif,,Animals,Alisha,AWOTW,TRUE,
sea urchin,Noun,uutuk,L1.15.01n.mp3,"Kasukuagmen agkuma, uutursurciqua cali. - When I go to Akhiok, I will get sea urchins, too.",uutuk,L1.15.01s.mp3,"Kasukuagmen agkuma, uutursurciqua cali. - When I go to Akhiok, I will get sea urchins, too.",Urchin.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
"otter, sea",Noun,arhnaq,L1.20.15n.mp3,Allringuq arnaq maani pilitaartuq arhnat amit aturluki. - There is one woman here who makes things using sea otter skins.,arhnaq,L1.20.15s.mp3,,SeaOtter.gif,,Animals,Alisha,AWOTW,TRUE,
sea lion,Noun,wiinaq,L1.07.33n.mp3,Wiinat carliangut. - The sea lions are having babies.,wiinaq,L1.07.33s.mp3,Wiinat carliangut. - The sea lions are having babies.,sealion.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
saw (for woodworking),Noun,pilaq,L1.17.07n.mp3,Ernerpak pilallriit. - They sawed (wood) today.,pilaq,L1.17.07s.mp3,Ernerpak pilallriit. - They sawed (wood) today.,saw2.gif,,Community & Work,Alisha,AWOTW,TRUE,
Monk's Lagoon,Noun,Anwik,L2.14-2.19n.mp3,Apaangcuk Anwigmi et'aallria. - Father Herman lived at Monk's Lagoon.,Anwik,L2.14-2.19s.mp3,Apaangcuk Anwigmi et'aallria. - Father Herman lived at Monk's Lagoon.,monkslagoon.gif,,Placenames,Alisha,AWOTW,TRUE,
moose,Noun,tunturpak,L1.07.22n.mp3,Maani Sun'ami tunturpanek piitukut. - Here on Kodiak we don't have moose.,tunturpak,L1.07.22s.mp3,Maani Sun'ami tunturpanek piitukut. - Here on Kodiak we don't have moose.,moose.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
moon; month,Noun,iraluq,L1.12.06n.mp3,Unugpak iraluq tatartuq. - Tonight the moon is full.,iraluq,L1.12.06s.mp3,Unugpak iraluq tatartuq. - Tonight the moon is full.,moon.gif,,Environment & Location,Alisha,AWOTW,TRUE,
octopus,Noun,amikuq,octopus.mp3,Amikuq piturnirtuq. - The octopus tastes good.,utguiq,,Utguiq piturnirtuq. - The octopus tastes good.,octopus.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
Old Harbor,Noun,Nuniaq,L2.14-2.05n.mp3,Nuniarmiuq-qaa ellpet? - Are you an Old Harbor person?,Nuniaq,L2.14-2.05s.mp3,Nuniarmiuq-qaa ellpet? - Are you an Old Harbor person?,Nuniaq.gif,,Placenames,Alisha,AWOTW,TRUE,
oil; fat,Noun,uquq,L2.12.03n.mp3,Una uquq asirtuq. - This oil is good.,uquq,L2.12.03s.mp3,Una uquq asirtuq. - This oil is good.,Fotosearch_FAD_048.gif,,Food & Kitchen,Alisha,AWOTW,TRUE,
numbers,Noun,nuumi_at,Numbers.mp3,Amlertut nuumi_at kalikami. - There are a lot of numbers on the paper.,nuumi_at,Numbers.mp3,Amlertut nuumi_at kalikami. - There are a lot of numbers on the paper.,numbers.gif,,Numbers & Time,Alisha,AWOTW,TRUE,
bullhead (fish),Noun,kayu_uq,L2.11.25n.mp3,Kayu_ut qanertutaartut. - Bullheads always have big mouths.,kayuluk; kaluyuk,L2.11.25s.mp3,Kayulut qanertutaartut. - Bullheads always have big mouths.,kayuruq.jpeg,,Animals,Alisha,,TRUE,
mountain,Noun,ing'iq,L1.14.11n.mp3,Ilait ing'it angsinartut. - Some mountains are very huge.,ingriq,L1.14.11s.mp3,Ilait ing'it angsinartut. - Some mountains are very huge.,SKW_158.gif,,Environment & Location,Alisha,AWOTW,TRUE,
girl,Noun,arya'aq,girl.mp3,Arya'aq qecenguq. - The girl is running.,arya'aq,,Arya'aq qecenguq. - The girl is running.,SKW_224.gif,,People & Roles,Alisha,AWOTW,TRUE,
present; gift,Noun,pikiyutaq,L1.13.04n.mp3,Pikiyutat amlertaartut uqgwim acaani. - There's always are a lot of presents under the [Christmas] tree.,pikiyutaq,L1.13.04s.mp3,Pikiyutat amlertaartut uqgwim acaani. - There's always are a lot of presents under the [Christmas] tree.,skt_179.jpeg,,Community & Work,Alisha,AWOTW,TRUE,
flowers,Noun,suit'kaat,L1.16.06n.mp3,Suitkaat cucunartut. - The flowers are beautiful.,suit'kaat,L1.16.06n.mp3,Suitkaat cucunartut. - The flowers are beautiful.,SKW_148.gif,,Vegetation,Alisha,AWOTW,TRUE,
fingers,Noun,sua'at,L1.02.19n.mp3,Qulnek sua'angq'rtua. - I have ten fingers.,sua'at,L1.02.19s.mp3,Qulnek sua'angq'rtua. - I have ten fingers.,indexfinger.gif,,Body & Health,Alisha,AWOTW,TRUE,
hook,Noun,iqsak,L2.17.07n.mp3,Iqsak ipegtuq. - The fish hook is sharp.,iqsak,L2.17.07s.mp3,Iqsak ip'gtuq. - The fish hook is sharp.,hook.gif,,Community & Work,Alisha,AWOTW,TRUE,
elder,Noun,cuqlliq,L1.08.01n.mp3,Cuqllipet ling'anartut. - Our Elders are respectful.,cuqlliq,L1.08.01s.mp3,Cuqllipet ling'anartut. - Our Elders are respectful.,oldman.gif,,People & Roles,Alisha,AWOTW,TRUE,
eye,Noun,iingalaq,L1.02.05n.mp3,"Ay'aa, iingalaqa! - Ouch, my eye!",iingalaq,L1.02.05s.mp3,"Ay'aa, iingalaqa! - Ouch, my eye!",eye.gif,,Body & Health,Alisha,AWOTW,TRUE,
egg(s),Noun,manik (1-2); manit (3+),L1.16.02n.mp3,Manigsurciqukut. - We're going to gather eggs.,manik (1-2); manit (3+),L1.16.02n.mp3,Manigsurciqukut. - We're going to gather eggs.,Fotosearch_FAD_037.gif,,"Food & Kitchen, Food & Kitchen",Alisha,AWOTW,TRUE,
Easter,Noun,Paas'kaaq,L1.16.01n.mp3,Ugnerkami Paas_kaartaartukut. - We have Easter in the spring.,Paas'kaaq,L1.16.01n.mp3,Ugnerkami Paas_kaartaartukut. - We have Easter in the spring.,SKT_172.gif,,"Community & Work, Community & Work, Numbers & Time, Numbers & Time",Alisha,"Holiday, AWOTW",TRUE,
"salmon, dog; chum",Noun,alimaq,L2.11.23n.mp3,Alimat kuigmen asgurtaartut. - Dog salmon always go up the stream.,alimaq,L2.11.23s.mp3,Alimat kuigmen asgurtaartut. - Dog salmon always go up the stream.,alimaq.jpg,,Animals,Alisha,AWOTW,TRUE,
"bee, bumble",Noun,uuqutiiq,bee.mp3,Uuqutiit amlertut suit_kaani. - There are a lot of bees on the flowers.,uuqutiiq,bee.mp3,Uuqutiit amlertut suit_kaani. - There are a lot of bees on the flowers.,Bee.gif,,Animals,Alisha,AWOTW,TRUE,
bow (for arrow),Noun,qitguyaq,L1.08.09n.mp3,Qitguyanek tan'urat wamtaartut. - Boys play with bows.,qitguyaq,L1.08.09s.mp3,Qitguyanek tan'urat wamtaartut. - Boys play with bows.,bow.gif,,Community & Work,Alisha,AWOTW,TRUE,
